name,id,code
7AM Bakers,ec062e5a-b44a-46e5-ba58-d7e05960a184,181
ASkitchen,5633af6a-ca7d-4527-9360-985e4907cbb7,28
Ace Hardware,51081cb5-5af0-4e8d-9566-443bcb12470f,66
Acme,c8b0fb31-b80a-41c4-bfb9-1806315cf692,29
Aiesha Plastik dan Packaging,ddd21a34-23c4-4710-a073-c706cd208c6b,134
Ali Afandi,aef48076-2845-4fe9-8923-c78a6caa3195,121
Alive,1389965f-14b9-4d7f-aa73-677888ba616f,55
Amy Sayur Pojok,bc61e43e-06d5-401e-93fa-b543afeebb1c,102
Anugerah Cipta Teknik,2ece42eb-8be7-44dd-b7e8-436e9348d5a3,152
Anyar,fe3db2a9-76e4-42d1-acd0-9aab8093e4ed,151
Artha Jaya Fotocopy,a5edbd69-2f2b-41aa-926c-6de0db5ba427,158
Ayu Perkasa,a37b3923-ff0e-4234-8a7c-c045e5bfaf69,153
Azka Karya Buah,845eb241-698a-4b70-a68d-220b16914441,113
Azko Bali,51a5a0f6-2ebe-4f3f-a740-f08303ee2fac,164
Bali Buda,61c65f89-d940-4153-8c07-488188e16d50,44
Bali Food Industry,ad9c84b3-77de-41be-a130-022b0a6b1b22,145
Bali More Electro,4e2b116f-2176-424a-8c78-821d2c576602,167
Balii manik,e823cc1e-3baa-44cd-ad59-101d80be7d27,39
Banjar,216003a0-e6e7-4788-9fdf-b125a1d7ee00,87
Billi Chounardo,f57330c8-52bb-41bb-ac3e-8f34b249da97,124
Bintang Supermarket,8d90f59b-8801-4412-83c8-7c9a4b6c75f0,106
Bottle Avenue,86c2f2d3-5efe-4ced-bffd-eb004bfa43d7,101
Buah Jaya,82f095ee-c871-4607-8ca8-10db43088125,108
Bumdes Canggu,253da97d-59e5-4e21-9e64-1fa2ed02f354,173
CV. Mega food trading,6f0ab29f-97fd-4bea-8529-bcfcf86068d1,48
CV. Prima indonesia,e69c03f4-7cd2-4425-b2bc-5c5972bd83d1,46
Cahaya Bakti,9e547e80-4198-41e9-a33d-a19c47202e2e,137
Camilla,0b292c51-ba08-41c7-96dc-aa26004b270a,92
Chantique Natural,eccd3f60-791f-40da-b182-00e454553b1e,161
Circle C,38ccf3a5-322d-4aa8-945e-c6ac8124a729,17
Cititex Dalung,1b8efa4c-8bf0-4837-8392-97b80b46f83c,69
Citra Mulya Plastik,74e97158-a586-4de4-9f04-4d64a8d91d1f,112
Copenhagen Canggu,4fb4a377-b77c-41d7-a48f-7dc016b0743a,41
DND Printing,8b06ad2b-f0d6-4311-93fb-e08735e9b3a2,32
Daily worker & parking,fb36ae45-1fe7-41c6-9abf-b66134f2ec92,178
Dapur prima,12edabc5-8e3c-4aff-a057-1093f1c35a16,12
Designer,965a9e98-b39d-41b1-aee1-6e8fe6a5f4cb,33
Diah Listrik,3982b755-fc53-4823-aab4-4d5e40718a31,148
Duta Plastik,2224c005-63d7-47ba-be82-1330011aa18f,109
Eco for pest,ad8afc41-04e9-4e3e-a2fb-2e1b194f1e79,72
Eka print,348af1d8-7a06-4521-acec-f35477e47444,166
Ekaterina Panova,9528b0c2-84e8-42f5-87a7-070ed277e8da,40
Fantasy mart,6893bd0a-5a70-4b34-b948-5b0353e9a052,50
Farizt Karya,fd3c67d9-8580-4f12-965b-c9486465ae07,165
Fawaid metal manufacture,5b51204a-d97d-4a1d-b82f-208b49d69950,34
Flower store,5d9e9855-d24e-47a3-a863-62753cc15169,52
Frestive,05b4eebc-0eb7-4856-9e65-a05c8d41e7c6,27
Global extreme,397b9fbb-2a5d-462d-ad11-d3d73172d65b,60
Go jack delivery service,52272983-22f5-430e-8e32-e3ee55fdab06,36
Gola Mart,5041943a-f5c1-4716-afd8-67844a69b284,127
Guna,22e65013-12fc-4408-ad8d-c24d2fc5d5aa,7
Guna plastik,d9d35aef-7406-42f5-84de-0ef022379ee0,19
Han's Clean,6df8a27b-4ea1-403d-9c8e-f48b1e81dee9,155
Hungry Bird,7561e5b8-3852-451d-9792-c404b29b8cb0,61
I Ketut Gede Eka Sanjaya,c852fb44-91d2-42d2-b6b3-8a244f03d3d3,119
Imput of initial elements,7a069084-8fac-4769-b06f-b6c7dd857b07,3
Junior Plastik,dcd04e37-2d3c-419f-be22-31fcca2f22de,105
Justin Advertising,f2400a30-11bb-47f6-aeb1-9abc4366fe20,129
KJA pt. SWN,00cebd05-1d41-4f16-8c9b-8545a98b302a,64
Karya utama canggu,0647821b-9ae8-4bae-9c6d-4c276637a769,110
King Plastik,5412e167-dc41-4217-9f2d-1199ac235d9b,157
Kitchen custom,1a0c316a-105c-45ac-af64-9359e38fcd59,35
Kubu Gena,0e186754-59ab-4891-89eb-2b40e06a01bd,103
Kurapack,6a018a74-a273-47cf-b0a8-c323d855ad71,123
Lavash,db3d7c5b-a6f3-4be2-9bcd-7ed00d88bb0b,177
